AL,995382.88
AK,6648.36
AZ,135627.27
AR,1291595.73
CA,5459380.85
CO,2637079.62
CT,6463460.43
DE,13321.43
FL,310148.88
GA,770738.54
HI,17844.15
ID,19718.79
IL,2993817.27
IN,37895.64
IA,2469060.26
KS,34839.36
KY,33331.98
LA,39178.68
ME,43875.04
MD,729253.42
MA,375128.95
MI,216828.06
MN,440563.47
MS,37254.41
MO,245123.98
MT,5730.25
NE,41764.08
NV,911554.81
NH,610273.87
NJ,14964977.55
NM,27352.91
NY,36277137.46
NC,103234.41
ND,0.0
OH,196899.75
OK,95070.55
OR,21975.03
PA,1671030.41
RI,1297149.41
SC,645097.8
SD,7856.4
TN,182211.41
TX,1467140.56
UT,137274.82
VT,22619.52
VA,6485251.9
WA,1392084.58
WV,3740.5
WI,66335.77
WY,12460.44
