AL,1401581.59
AK,55711.29
AZ,1860917.68
AR,1464977.06
CA,13331309.67
CO,5026088.71
CT,6649409.38
DE,21915.72
FL,5522871.03
GA,2639431.64
HI,51038.8
ID,59967.88
IL,4350282.38
IN,99632.48
IA,7778789.85
KS,340524.46
KY,611942.85
LA,3592058.14
ME,483984.73
MD,1084866.13
MA,8115253.94
MI,614145.98
MN,982856.83
MS,250437.89
MO,5064752.22
MT,25303.75
NE,151615.24
NV,2684496.78
NH,3792995.67
NJ,15326497.64
NM,60466.96
NY,46463414.52
NC,485714.98
ND,491.16
OH,9766552.01
OK,458478.24
OR,283954.09
PA,1995590.87
RI,1368644.72
SC,3377501.34
SD,11595.65
TN,719987.66
TX,7052922.33
UT,446226.11
VT,5129581.68
VA,90580136.37
WA,5038135.61
WV,36423.26
WI,326113.27
WY,23543.44
